Gene,Protein,Location,Methodology
ATMG00100,PQL2,,
AT1G21700,AS1,,
AT3G60880,ATMYB91,,
AT3G20040,ATPHAN,,
AT3G52990,MYB91,,
AT1G11790,ASK2,,
AT2G39900,SKP1B,,
AT3G23980,TPR13,,
AT3G60550,TRNI.4,,
AT2G43750,TBL24,,
AT4G10100,MK,,
AT2G31970,MVK,,
AT5G52640,UGT71B5,,
AT5G13840,ATMRD1,,
AT3G15610,MRD1,,
AT1G11860,DIN11,,
AT5G52420,PGP1,,
AT3G21580,PGPS1,,
AT2G37190,PGS1,,
AT5G45510,CPuORF30,,
AT5G04550,ARR7,,
AT5G08670,RPP5,,
AT5G04885,LBD35,,
AT1G33560,ATREM1,,
AT5G19550,REM1,,
AT3G54440,PROPEP6,,
AT5G13550,ATMYB48,,
AT5G19080,ATMYB48-1,,
AT2G30410,ATMYB48-2,,
AT2G20840,ATMYB48-3,,
AT3G52190,MYB48,,
AT3G57230,AtUGT85A2,,
AT5G11160,UGT85A2,,
AT1G53170,ANN7,,
AT2G34560,ANNAT7,,
AT5G44430,ATE2F2,,
AT4G05080,ATE2FC,,
AT5G45080,E2FC,,
AT5G15410,ATRAB1C,,
AT4G29920,ATRABD2C,,
AT1G57660,RAB1C,,
AT4G33910,RAB1C,,
AT2G17360,VHA-E2,,
AT2G32740,ATRBX1,,
AT2G37990,HRT1,,
AT5G26000,RBX1,,
AT5G13150,ROC1,,
AT2G44710,GATL4,,
AT4G38200,GolS9,,
AT5G22030,NYC1,,
AT4G34580,AtWRKY41,,
AT4G35180,WRKY41,,
AT4G39400,BGLU27,,
AT4G39403,emb2386,,
AT2G38465,JAI3,,
AT2G38460,JAZ3,,
AT3G48140,TIFY6B,,
AT5G16500,I14H,,
AT5G19330,IRX14-L,,
AT5G27200,ANAC082,,
AT4G39150,NAC082,,
AT1G31480,VNI1,,
AT2G16600,FLA7,,
AT5G61650,ATISU1,,
AT4G30720,ISU1,,
AT2G39590,ATNPR4,,
AT2G26800,NPR4,,
AT4G05330,ATP8,,
AT2G25310,AtRCD1,,
AT1G69260,CEO,,
ATCG00240,CEO1,,
AT3G26440,RCD1,,
AT2G27090,LOL1,,
AT4G25820,ABCG18,,
AT2G42400,ATINT4,,
ATCG01240,INT4,,
AT4G14160,LON4,,
AT3G55970,ATSPPL2,,
AT4G34050,SPPL2,,
AT1G79370,MEF19,,
AT5G26260,RPL22,,
AT3G62410,ATPDI11,,
AT1G04110,ATPDIL2-1,,
AT1G72440,MEE30,,
AT4G40010,PDI11,,
AT4G15560,UNE5,,
AT1G72490,PAC,,
AT4G11660,RL2,,
AT4G19410,ATGSTU25,,
AT1G60850,GSTU25,,
AT5G56660,ATRAPTOR1A,,
AT1G01540,RAPTOR1A,,
AT1G72990,RAPTOR2,,
AT1G53530,ATSPX1,,
AT2G03880,SPX1,,
AT1G56040,AtGolS2,,
AT5G37800,GolS2,,
AT5G41520,ALE,,
AT5G53200,ALE1,,
AT2G40170,GH3.5,,
AT3G61850,WES1,,
AT5G57240,MIR169C,,
AT1G69120,AAE2,,
AT4G14342,AtCCP2,,
AT1G69500,CCP2,,
AT3G02468,ATDSS1(V),,
AT1G25280,DSS1(V),,
AT1G14360,CNX5,,
AT4G14340,SIR1,,
ATCG00020,AtTT8,,
AT4G00300,BHLH42,,
AT4G36940,TT8,,
AT1G73820,YUC10,,
AT3G12390,CYP96A7,,
AT1G74290,ELF4-L4,,
AT5G40740,UBC37,,
AT3G16690,NKS1,,
AT5G56620,AGL58,,
AT3G06650,ATNAS3,,
AT5G04080,NAS3,,
AT3G28070,GATB,,
AT2G32810,WIH3,,
AT3G56970,ATMBD8,,
AT1G72660,MBD8,,
AT1G72190,CYP705A8,,
AT1G15410,FAS1,,
AT3G29290,FUGU2,,
AT1G15940,NFB2,,
AT1G19910,EMB3108,,
AT3G22740,HS3,,
AT2G38340,RH22,,
AT1G04840,AtSIP1,,
AT5G39840,RS1,,
AT3G26160,SIP1,,
AT1G80630,ATCM1,,
AT3G26050,CM1,,
AT5G18060,ATBT4,,
AT3G02680,BT4,,
AT1G18060,UMAMIT11,,
AT1G05420,FT,,
AT4G36570,RSB8,,
AT5G57690,GTE7,,
AT5G26910,AtRLP45,,
AT1G22920,RLP45,,
ATMG00980,ACHT5,,
AT1G22880,ATHEX1,,
AT1G22882,HEXO3,,
AT2G13620,EMB1923,,
AT1G03780,AGL24,,
AT5G11950,RUG3,,
AT2G14100,AtRLP25,,
AT2G05900,RLP25,,
ATMG01350,MIR159C,,
AT2G38880,ATKCR1,,
AT5G45470,KCR1,,
AT1G43560,YBR159,,
AT3G49590,ATCHX16,,
AT4G31400,CHX16,,
AT2G23010,CYP72A15,,
AT2G26060,CCS52A1,,
AT4G30800,FZR2,,
AT1G02010,APUM17,,
AT1G11610,PUM17,,
AT3G50960,ATGRXCP,,
AT4G32660,CXIP1,,
AT5G07090,AB180,,
AT1G73310,CAB3,,
AT5G20230,LHCB1.2,,
AT5G64840,SQE3,,
AT5G60540,HD-GL2-1,,
AT5G64170,HDG1,,
AT1G14350,LCR26,,
AT3G32180,anac060,,
AT1G31630,NAC060,,
AT4G36750,ASK9,,
AT3G11820,SK9,,
AT3G12820,ACBP4,,
AT5G66620,AtACBP4,,
AT3G03330,DES-1-LIKE,,
AT4G08160,ATBRCA1,,
AT4G23630,BRCA1,,
AT1G22770,RPL24,,
AT3G51610,RPL24B,,
AT5G44860,STV1,,
AT1G33330,HERK2,,
AT1G13320,ATSPX2,,
AT3G07650,SPX2,,
AT1G61130,DFL1,,
AT1G62750,GH3.6,,
AT3G09220,ABCI15,,
AT1G67500,TGD2,,
AT3G04870,TRNK.1,,
ATMG01170,ATSWI3C,,
AT3G02410,CHB4,,
AT2G01905,SWI3C,,
ATMG00290,DHDPS,,
AT1G32060,DHDPS1,,
AT3G22060,ATHXK4,,
AT1G26700,HKL2,,
AT5G52340,ADT1,,
AT4G24000,AtADT1,,
AT3G46090,WLIM2a,,
AT3G23167,BLI,,
AT3G25060,KOS1,,
AT5G42380,CYCP3;2,,
AT1G04340,ACS1,,
AT3G50450,ATCS-B,,
AT2G47860,CPACS1,,
AT1G09430,OASB,,
AT2G32100,CNX7,,
AT1G17840,SIR5,,
AT5G37475,ATRAD50,,
AT4G08300,RAD50,,
AT5G17220,ATHS83,,
AT5G40510,AtHsp90-1,,
AT5G06590,ATHSP90.1,,
AT5G06220,HSP81-1,,
AT3G20660,HSP81.1,,
AT5G07050,HSP83,,
AT5G02250,HSP90.1,,
AT2G18390,CCS52B,,
AT3G60360,FZR3,,
AT1G49005,ABCI12,,
AT5G60810,ADR1,,
AT2G32240,AAT2,,
AT1G43950,ASP2,,
AT3G46270,SULTR4;1,,
AT2G19500,AtVBP1,,
AT5G01640,LUL3,,
AT2G44100,VBP1,,
AT3G47780,KIS,,
AT4G14300,TFCA,,
AT5G65880,AtSCAMP3,,
AT1G54115,SCAMP3,,
AT2G21940,AtPHF1,,
AT5G61140,PHF1,,
AT2G35900,AGL16,,
AT1G54110,APT5,,
AT5G58070,ATERF-8,,
AT5G43380,ATERF8,,
AT2G46400,ERF8,,
AT3G63420,AtCCP1,,
AT1G43980,CCP1,,
AT4G32980,PDF1.2c,,
AT1G72140,AtPP2-A6,,
AT5G21920,PP2-A6,,
AT3G18190,ATCNGC2,,
AT2G01650,CNGC2,,
AT3G57220,DND1,,
AT5G48580,SMXL4,,
AT5G64660,ATGT13,,
AT3G14810,GT13,,
AT5G55580,AtTGG1,,
AT4G25000,BGLU38,,
AT1G57870,TGG1,,
AT2G37050,ATEXO70C1,,
AT1G74210,EXO70C1,,
AT1G03055,UBP8,,
AT1G03050,AtSFH1,,
AT5G13300,COW1,,
AT1G74900,SRH1,,
AT3G18390,LHT7,,
AT5G65390,ATBRI1,,
AT5G43030,BIN1,,
AT1G76430,BRI1,,
AT4G12130,CBB2,,
AT3G53900,DWF2,,
AT4G02150,PLS,,
AT5G59130,ATIREG1,,
AT2G02100,FPN1,,
AT5G58260,IREG1,,
AT1G07820,LIP1,,
AT4G27950,ARIA,,
AT1G67960,ACP5,,
AT4G13510,SGR2,,
AT5G41090,ROC3,,
AT3G01220,CYCP4,,
AT5G48050,CYCP4;2,,
AT1G11410,PDE327,,
AT3G57040,AGD13,,
AT2G42360,AFP1,,
AT3G47050,TRNY,,
AT5G38150,ATXTH14,,
AT1G79560,XTH14,,
AT1G63050,XTR9,,
AT3G12020,ATVOZ2,,
AT1G30960,VOZ2,,
AT5G06530,RPS7.2,,
AT3G27530,ATJRG21,,
AT3G14735,JRG21,,
AT3G14225,CCoAOMT1,,
AT5G54180,CYP79C1,,
AT1G71500,CP12,,
AT3G14220,CP12-2,,
AT5G62440,AtSDD1,,
AT2G36900,SDD1,,
AT5G04990,EDA25,,
AT5G02035,SWA2,,
AT1G80660,SNRK2-7,,
AT5G15180,SNRK2.7,,
AT1G07750,SRK2F,,
AT1G75460,AtCLA1,,
AT3G61230,CLA,,
AT5G03340,CLA1,,
AT5G03610,DEF,,
AT1G78280,DXPS2,,
AT5G03345,DXS,,
AT2G27810,DXS1,,
AT4G28400,AT-HSFB2B,,
AT1G74590,HSF7,,
AT2G42090,HSFB2B,,
AT3G28715,AAC42,,
AT2G38670,ATRPAC42,,
AT3G28710,ILL2,,
AT5G61850,BGAL17,,
AT2G35020,REME1,,
AT2G29550,ATRSL1,,
AT1G68050,RSL1,,
AT5G07890,RPS10B,,
AT4G24750,TRY,,
AT2G30080,ATEM6,,
AT2G29080,EM6,,
AT4G20050,GEA6,,
AT4G37930,DAG1,,
AT5G62620,ORP4C,,
AT1G80840,AGL7,,
AT4G10090,AP1,,
AT3G55500,CYP704B1,,
AT4G00080,CPuORF9,,
AT5G07540,AtTLP10,,
AT1G20930,TLP10,,
AT1G52185,ATUTR3,,
AT5G45620,UTR3,,
AT3G56310,CKI1,,
AT1G65010,CKL11,,
AT3G53760,PSBA,,
AT4G04210,NAPRT1,,
AT1G47670,Aug-06,,
AT5G22900,AtSWEET16,,
AT2G13100,SWEET16,,
AT4G30580,anac099,,
AT5G04850,NAC099,,
AT1G10230,ACLB-1,,
AT2G29330,UMAMIT46,,
AT4G15910,BGAL9,,
AT4G39090,BGAL9,,
AT1G60190,BHLH038,,
AT1G60620,bHLH38,,
AT5G37650,ORG2,,
ATMG00730,emb2076,,
AT1G60625,ATVHA-C2,,
AT3G17420,AVA-2PE,,
AT2G43410,AVA-P2,,
AT2G43940,HMT3,,
AT5G09820,DREB19,,
AT2G43945,CYP71B17,,
AT5G36290,SAUR23,,
AT5G49720,ATNBS1,,
AT1G26090,NBS1,,
AT5G46510,ATOFP12,,
AT2G17640,OFP12,,
AT3G02850,ATRL3,,
AT3G19130,RL3,,
AT1G04250,ATDGK4,,
AT4G14200,DGK4,,
AT1G04700,TRM8,,
AT5G22570,AJH1,,
ATMG00260,CSN5A,,
AT2G40800,RPSL2,,
AT5G42600,ATCEL5,,
ATCG01300,ATGH9B4,,
AT3G19420,CEL5,,
AT5G08330,ATCHX15,,
AT5G08440,CHX15,,
AT5G63470,CHX15,,
AT4G23400,AtTPX2,,
AT5G08335,TPX2,,
AT4G14360,LOG8,,
AT5G23990,CYP705A13,,
AT4G39890,SDG11,,
AT1G60990,SUVH10,,
AT1G08620,ORF145C,,
AT1G60995,ATHAP3,,
AT1G51980,ATNF-YB1,,
AT1G09350,HAP3,,
AT5G38130,HAP3A,,
AT3G29590,NF-YB1,,
AT1G60440,Aty2,,
AT5G15330,ty2,,
AT2G22990,ATG13,,
AT4G31180,AtCTF7,,
AT2G28930,CTF7,,
AT1G23260,ECO1,,
AT3G16480,SCPL9,,
AT1G14130,CIA1,,
AT5G49540,emb1345,,
AT1G14420,SEC1A,,
AT5G14570,CYP71A18,,
AT3G45290,PLP3a,,
AT3G48800,AME3,,
AT5G23190,scpl4,,
AT4G29190,ATBCB,,
AT1G66590,BCB,,
AT3G25795,BCB,,
AT4G31910,SAG14,,
AT1G01280,ABCF5,,
AT5G27430,ATGCN5,,
AT3G25790,GCN5,,
AT1G56450,ATPDX2,,
AT5G43630,EMB2407,,
AT2G04425,PDX2,,
AT2G33130,LNK1,,
AT5G06340,AtMYB124,,
AT2G23220,FLP,,
AT3G49601,MYB124,,
AT3G49600,AGL86,,
AT1G02950,AT-SYR1,,
ATMG01060,ATSYP121,,
AT1G25340,ATSYR1,,
AT2G47670,PEN1,,
AT1G47890,SYP121,,
AT4G17510,SYR1,,
AT5G60480,AtMYB10,,
AT2G22570,MYB10,,
AT4G24980,DAR6,,
AT2G19750,BTI1,,
AT1G22340,RTNLB1,,
AT4G11050,FB,,
AT3G45740,GI,,
AT5G47640,NPU,,
AT1G01020,PP2AA3,,
AT1G72270,BBX7,,
AT5G56000,COL9,,
AT2G45810,SCPL32,,
AT3G22680,ATSCO1,,
AT4G22750,ATSCO1/CPEF-G,,
AT4G22753,SCO1,,
AT4G27320,LAC7,,
AT1G07430,ATREV3,,
AT3G59050,REV3,,
AT3G51260,PDE181,,
AT2G42890,SPC1,,
AT1G56230,ZDS,,
AT2G23510,ATP6-2,,
AT3G15355,ICME-LIKE2,,
AT2G41310,CYCJ18,,
AT2G44490,RPS4,,
AT5G41770,PRK,,
AT4G22200,ATMLO14,,
AT5G49890,MLO14,,
AT3G02140,ATEXO70A2,,
ATCG00760,EXO70A2,,
AT1G03120,ATCSLG2,,
AT5G13430,CSLG2,,
AT3G60900,ZAT7,,
ATCG00830,LCR39,,
AT2G47410,MEF25,,
AT3G24350,CML37,,
AT5G35715,CML39,,
AT1G73170,HR1,,
AT5G47020,SETH6,,
AT3G03810,ACLA-3,,
AT3G11130,ATOFP16,,
AT1G54580,OFP16,,
AT2G48140,ABCG11,,
AT2G25090,AtABCG11,,
AT1G69480,ATWBC11,,
AT5G39380,COF1,,
AT4G02810,DSO,,
AT4G27180,WBC11,,
AT5G24160,UMAMIT17,,
AT2G32900,ATGSTF12,,
AT5G24165,GST26,,
AT1G12860,GSTF12,,
AT3G51190,TT19,,
AT5G65310,AtOCT4,,
AT3G44730,Oct-04,,
AT5G65770,UMAMIT9,,
AT1G49630,ATMTRNASEII,,
AT1G78900,EMB2730,,
AT4G09795,RNR1,,
AT1G59600,ARL2,,
AT1G18300,ATARLC1,,
AT1G55180,HAL,,
AT4G03360,TTN5,,
AT3G06010,EDA14,,
AT4G03490,UTP11,,
AT1G58807,CLE11,,
AT3G24530,GLV11,,
AT3G47600,RGF1,,
AT2G18230,ARF23,,
AT1G58330,ATCKX2,,
AT2G21880,CKX2,,
AT3G49860,PRA1.B5,,
AT1G71770,AT-GDI1,,
AT1G28470,ATGDI1,,
AT4G16200,GDI1,,
AT2G31900,ABCA7,,
AT1G50110,ATATH6,,
AT3G18220,ATH6,,
AT5G18860,ATCCX4,,
AT5G61430,CCX4,,
AT1G02220,ATSK1,,
AT2G35710,SK1,,
AT2G46310,ATTIL,,
AT5G48670,TIL,,
ATCG01260,TOPP6,,
AT4G29720,ATWRKY46,,
AT4G26050,WRKY46,,
AT5G64470,AGG1,,
AT1G30720,ATAGG1,,
AT2G27060,GG1,,
AT5G44480,ATH1,,
AT5G65950,ATYLMG2,,
AT1G64990,YLMG2,,
AT2G22680,PUX2,,
AT1G64620,FKBP15-2,,
AT1G51600,ATCMPG2,,
AT5G65700,CMPG2,,
AT4G28230,MSL5,,
AT4G21580,AMY1,,
AT4G24560,ATAMY1,,
AT5G45890,ATSK42,,
AT3G53220,SK42,,
AT3G47930,AtGDPD5,,
AT1G68990,GDPD5,,
AT2G23810,AtD27,,
AT5G47630,D27,,
AT4G22970,AGD3,,
AT3G09050,SFC,,
AT3G54920,VAN3,,
AT1G67710,OTP43,,
AT4G37740,EMB1865,,
AT1G80090,AGP7,,
AT3G58010,PHT1;9,,
AT2G02350,PYRR,,
AT1G23760,UPP,,
AT1G31970,ATIMPALPHA3,,
AT4G04540,IMPA-3,,
AT5G48910,MOS6,,
AT3G57690,LCR69,,
AT1G64190,PDF2.2,,
AT4G26270,NdhN,,
AT5G28490,CRF4,,
AT3G15900,POD1,,
AT3G21830,AMT1;1,,
AT4G19850,ATAMT1,,
AT1G10930,ATAMT1;1,,
AT4G28130,anac095,,
AT3G53590,NAC095,,
AT1G30510,ATHB20,,
AT4G04910,HB20,,
AT1G68190,ARR9,,
AT3G10370,ATRR4,,
AT1G71190,PMI15,,
AT5G59850,EMB1047,,
AT4G24690,EMB156,,
AT1G16300,EMB36,,
AT1G12680,FTSH12,,
AT3G57080,AtLPLAT2,,
AT1G21720,LPCAT2,,
AT1G22400,LPLAT2,,
AT5G50400,ABCG22,,
ATCG00450,AtABCG22,,
AT1G29250,GC6,,
AT3G17850,MAG4,,
AT1G64210,U6-1,,
AT1G75670,GLIP4,,
AT2G43770,PTAC15,,
AT3G46510,ATMEMB11,,
AT3G19960,MEMB11,,
AT3G13570,ATSUN1,,
AT4G25970,SUN1,,
AT5G07070,miR2111B,,
AT1G32560,AHA9,,
AT5G13790,HA9,,
AT1G58030,PLIM2c,,
AT5G13820,AtCDC48C,,
AT4G34100,ATNAT12,,
AT1G71990,NAT12,,
AT2G38195,ATGSTU10,,
AT1G16190,GSTU10,,
AT1G10680,ACT9,,
AT3G56110,PECT1,,
AT2G35110,LFY,,
AT5G19530,LFY3,,
AT3G52170,GlcNAc1pUT2,,
AT5G02750,TUB7,,
AT4G13985,ADO3,,
AT5G21482,FKF1,,
AT4G13980,ATZIP6,,
AT2G34500,ZIP6,,
AT2G20860,ftsh3,,
AT2G01410,QRT3,,
AT4G29940,SHM1,,
AT2G41950,SHMT1,,
AT2G32760,STM,,
ATCG00350,ATWRKY40,,
AT2G32765,WRKY40,,
AT3G05910,ELP6,,
AT5G13170,ATEXP16,,
AT3G09500,ATEXPA16,,
AT5G22010,ATHEXP ALPHA 1.7,,
AT4G38770,EXP16,,
AT2G40330,EXPA16,,
AT4G28090,UNE11,,
AT1G31410,ATGRP-6,,
AT3G17320,ATGRP16,,
AT1G20580,GRP16,,
AT3G20750,CDKB2;2,,
AT5G23760,MIR406,,
AT5G27220,ATGCP4,,
AT2G30695,GCP4,,
AT4G39420,PUX4,,
AT5G62162,ATCHX3,,
AT4G11840,CHX3,,
AT4G33210,AtG3Pp5,,
AT5G62165,G3Pp5,,
AT1G19680,ATS2,,
AT3G52310,EMB1995,,
AT2G28210,LPAT1,,
AT5G58090,VPS60.2,,
AT1G69240,ASK18,,
AT4G25515,SK18,,
AT1G11330,TRI,,
AT3G03850,ATDI21,,
AT4G25770,DI21,,
AT1G58470,RD19,,
AT2G17120,RD19A,,
ATCG00220,AtPUB19,,
AT4G01520,PUB19,,
AT1G79350,ATRPAC43,,
AT1G74100,RPAC43,,
AT3G12150,COX3,,
AT3G16100,RALFL6,,
AT2G42130,GPK1,,
AT2G45870,FPA,,
AT3G18610,ATHOL3,,
ATMG00410,HOL3,,
AT4G01630,ATGH9A1,,
AT1G01560,DEC,,
AT1G05660,GH9A1,,
AT5G50580,IRX2,,
ATCG00870,KOR,,
AT5G37820,KOR1,,
AT3G48057,RSW2,,
AT1G60870,TSD1,,
AT3G61520,VICTL,,
AT5G18660,ATSERAT3;1,,
AT5G58890,SAT-106,,
AT1G27440,SKOR,,
AT1G27940,ATRBP47B,,
ATMG01380,RBP47B,,
AT2G48100,AXR3,,
AT5G41540,IAA17,,
AT5G15290,ATWRKY38,,
AT3G02330,WRKY38,,
AT2G46510,ORF101A,,
AT3G02440,MRN1,,
AT5G07290,RPL23.2,,
AT3G13450,ATPEN2,,
AT1G73590,PEN2,,
AT5G50720,PTEN2A,,
AT3G28500,AtTCP11,,
AT5G14740,TCP11,,
AT2G32830,NF-YC4,,
AT5G14210,PIP1;5,,
AT3G16810,PIP1D,,
AT1G47240,ATICMTB,,
AT1G65290,ATSTE14B,,
AT2G38330,ICMTB,,
AT2G38440,ATFRO5,,
ATCG00570,FRO5,,
AT3G28050,AtRABH1c,,
AT3G22760,RABH1c,,
AT4G01450,PKDM7D,,
AT5G56940,AtGolS3,,
AT4G13200,GolS3,,
AT3G49290,AT5MAT,,
AT2G39310,ATCOAA,,
AT2G18340,ATPANK1,,
AT3G26070,PANK1,,
AT5G18000,ATSPX4,,
AT5G11530,SPX4,,
AT3G44350,SCPL8,,
AT4G26870,SNG1,,
AT1G73200,APK1B,,
AT5G28885,PK1B,,
AT3G55330,MMZ1,,
AT4G18070,UEV1A,,
AT1G47420,MPPalpha,,
AT3G62290,AT59,,
AT5G66390,ATNRT2.7,,
ATCG01170,NRT2.7,,
AT3G45190,ATMLO3,,
AT4G12880,MLO3,,
AT1G21980,CYP86B1,,
AT1G55420,AtC3H49,,
AT4G35300,AtOZF2,,
AT4G11600,AtTZF3,,
AT3G49470,OZF2,,
AT1G32660,TZF3,,
AT5G63610,ATCOX19-1,,
AT2G23560,COX19-1,,
AT3G42170,TAS4,,
AT5G24280,BAT1,,
AT1G24807,PIZ,,
AT1G73655,CYP703,,
AT1G24800,CYP703A2,,
AT3G50460,PBG1,,
AT5G46700,TZP,,
AT4G00850,LCR82,,
AT4G00585,RALF18,,
AT5G24570,RALFL18,,
AT2G18690,ATNUDX27,,
AT1G52230,NUDX27,,
AT1G26660,CYP81D6,,
AT5G49970,ATUBP26,,
AT5G52060,SUP32,,
AT4G24250,UBP26,,
AT5G37810,ATGSTF4,,
AT1G04050,GST31,,
AT1G22750,GSTF4,,
AT1G32780,ORF107G,,
AT2G40140,AtMYB116,,
AT3G13855,MYB116,,
AT1G13300,PMEI6,,
AT3G07670,AtRLP7,,
AT1G66430,RLP7,,
AT5G54890,UCH3,,
AT1G66120,AtHB26,,
AT5G56490,HB26,,
AT5G40480,ZHD12,,
AT3G11630,ATNIC1,,
AT1G69440,NIC1,,
AT2G44680,UMAMIT16-psi,,
AT5G42870,AtUGT85A7,,
AT3G04630,UGT85A7,,
AT1G62730,AtGH9C3,,
AT3G51520,GH9C3,,
AT1G30270,NF-YB2,,
AT2G47580,ARV1,,
AT5G50790,AtHsp90.4,,
AT4G34138,Hsp81.4,,
AT3G61770,RDM1,,
AT3G23140,ATSMO1-3,,
AT3G23410,SMO1-3,,
AT4G05400,ATPHOS34,,
AT1G17870,PHOS34,,
AT5G52320,AIP1,,
AT1G09415,AtAIP1,,
AT1G76340,HAI2,,
AT2G37400,HON,,
AT5G14960,ATPAO3,,
AT4G24220,PAO3,,
AT4G08320,PAD1,,
AT3G24715,AML2,,
AT4G00210,ML2,,
AT4G25700,SDT,,
AT1G17820,PFU1,,
AT5G05000,UBC25,,
AT2G20670,ARR8,,
AT5G17240,ATRR3,,
AT3G20820,RR3,,
AT2G01755,BGLU26,,
AT1G29400,PEN2,,
AT1G49570,AKT2,,
AT2G22740,AKT2/3,,
AT2G25530,AKT3,,
AT1G01190,KT2/3,,
AT1G59810,ATCLC-C,,
AT5G64390,CLC-C,,
AT5G60830,AFP4,,
AT3G21700,TMAC2,,
AT4G17890,RPL36,,
AT5G25150,ATRAB28,,
AT2G32220,RAB28,,
AT1G73220,FLA10,,
AT1G64400,RPL2.1,,
AT2G19560,ATSYP32,,
AT1G79990,SYP32,,
AT2G35920,CYP71B8,,
AT1G51450,EDA30,,
AT1G27130,AtCHC1,,
AT2G46930,CHC1,,
AT5G20500,ACP2,,
AT2G29390,EDA4,,
AT3G20870,AtCIPK16,,
AT1G67520,CIPK16,,
AT5G67110,SnRK3.18,,
AT4G27040,FAF1,,
AT1G26985,ATK2,,
AT1G61010,KATB,,
AT5G44620,SQE6,,
AT5G40260,ATZW10,,
AT5G64130,ICE2,,
AT5G64640,SCRM2,,
AT4G31880,ATHB-5,,
AT4G26640,ATHB5,,
AT4G17090,HB5,,
AT2G32590,AtKIN14h,,
AT5G55660,ATKP1,,
AT1G11650,KP1,,
AT5G48890,CRWN4,,
AT3G60040,LINC4,,
AT5G12330,ATPREP2,,
AT4G33030,PREP2,,
AT1G74920,VHA-A,,
AT3G18370,LCR13,,
AT1G13870,ZCW7,,
AT3G47640,atnudt4,,
AT4G12110,NUDT4,,
AT3G53960,PLDALPHA4,,
AT1G65960,PLDEPSILON,,
AT5G14105,ATCHR12,,
AT1G71695,CHR12,,
AT1G06130,ATMYB94,,
AT1G71696,ATMYBCP70,,
AT3G10410,MYB94,,
AT2G04240,AtPPa2,,
AT5G43050,PPa2,,
AT1G71340,ZW2,,
AT5G06200,ATRAB7A,,
AT1G32940,ATRABG2,,
AT1G16150,RAB7A,,
AT1G31580,ARLA1B,,
AT4G05180,ATARLA1B,,
AT1G64385,PAB5,,
AT3G13490,ANAC010,,
AT5G21010,NAC010,,
AT1G07510,SND3,,
AT5G38317,ATMYO5,,
AT1G11430,ATXIF,,
AT1G78110,XIF,,
AT3G01200,LPP4,,
AT5G51210,NSH3,,
AT5G41150,ANAC100,,
AT5G47820,ATNAC5,,
AT4G34680,NAC100,,
AT5G55300,ANAC003,,
AT2G22950,NAC003,,
AT1G48500,PGSIP7,,
AT4G28390,CRF5,,
AT1G79500,AGL80,,
AT4G28395,FEM111,,
AT4G09520,TRNL.4,,
AT1G33440,ATPAO5,,
AT3G14450,PAO5,,
AT3G14240,PIRL8,,
AT5G51710,TBL12,,
AT5G40240,DUR,,
AT1G80370,GTG1,,
AT4G37480,WAVH1,,
AT5G06060,GATA28,,
AT3G09922,TIFY2A,,
AT5G13580,ZML2,,
AT2G32273,BAM1,,
AT1G52430,UBP16,,
AT1G05590,SAG12,,
AT3G14010,ATGLDH,,
AT1G65380,GLDH,,
AT2G32620,MGP3,,
AT5G65510,TET8,,
AT4G30210,mtACP3,,
AT1G65113,AESP,,
AT4G22550,ESP,,
AT3G05820,ESP,,
AT2G29530,RSW4,,
AT1G68070,PMR6,,
AT1G50490,ARR11,,
AT5G62390,AtGRF2,,
AT5G28050,GRF2,,
AT5G28500,CBSX4,,
AT3G10390,PGL34,,
AT3G22300,AtPP2-B9,,
AT3G55830,SKIP3,,
AT1G36370,JP630,,
AT3G44100,PG3,,
AT5G57040,STRS1,,
AT1G73690,CRK39,,
AT4G38430,LPA66,,
AT1G30230,AGP23,,
AT3G53780,ATAGP23,,
AT4G18240,PFK3,,
AT5G38970,LSH1,,
AT2G21330,OBO2,,
AT3G45170,ASK8,,
AT1G71830,SK8,,
AT1G67785,ATPP2-A2,,
AT1G10210,PP2-A2,,
AT3G56330,PP2A2,,
AT2G45650,ATRECQ4A,,
AT5G12180,ATSGS1,,
AT2G45300,RECQ4A,,
AT4G08920,ATDGK6,,
AT1G60600,DGK6,,
AT5G61455,ATRFNR2,,
AT5G06980,RFNR2,,
ATMG00710,NSF,,
AT1G01910,BBX27,,
AT1G08420,SDP6,,
AT5G39950,SAG18,,
AT5G09805,AtNBR1,,
AT1G75330,NBR1,,
AT3G13720,GAPCP-2,,
AT1G75440,PEPKR2,,
AT3G17440,NRPE5,,
AT2G43430,RPB5B,,
AT4G14220,PBC1,,
AT3G44910,ATUGT85A1,,
AT5G57950,UGT85A1,,
AT3G62600,ATPAP27,,
AT3G19150,PAP27,,
AT1G04270,TRNV.1,,
AT5G66090,ATPUB13,,
AT4G23420,PUB13,,
AT5G16950,ATM1,,
AT5G12980,At-SCL30A,,
AT5G04670,SCL30A,,
AT1G66600,PSD3,,
AT3G25265,CIPK2,,
AT3G11840,SnRK3.2,,
AT2G35320,AtLEA4-1,,
AT2G39120,LEA4-1,,
AT3G52780,AGL15,,
AT1G19270,CAT2,,
AT1G58440,ATBP-1,,
AT4G31160,ATBP1,,
AT2G28910,ATTBP1,,
AT1G79150,HPPBF-1,,
AT2G25295,TBP1,,
AT1G16858,CER9,,
AT5G15600,SUD1,,
AT5G15350,ATFT4,,
AT2G25290,ATFUT13,,
AT1G42550,FT4-M,,
AT5G14000,FUCTC,,
AT5G10050,FUT13,,
